vendor_id,vendor_name,department,nature_of_expense,owner,recurring,active,last_contract_revision_date
V001,Acme Corporation,IT,Software Licenses,John Smith,TRUE,TRUE,2024-01-15
V002,Tech Solutions Inc,Finance,Consulting Services,Jane Doe,FALSE,TRUE,2023-12-01
V003,Global Logistics Ltd,Operations,Shipping,Mike Johnson,TRUE,TRUE,2024-02-10
V004,Cloud Systems Corp,IT,Cloud Infrastructure,Sarah Williams,TRUE,TRUE,2024-01-20
V005,Data Analytics Pro,Finance,Data Services,Robert Brown,FALSE,FALSE,2023-06-30
V006,Security Services,Operations,Security,James Wilson,TRUE,TRUE,2024-01-05
V007,Marketing Digital,Marketing,Digital Services,Emma Taylor,FALSE,TRUE,2024-03-01
V008,HR Solutions,HR,Staffing,Lisa Anderson,TRUE,TRUE,2023-11-15
V009,Legal Advisors,Legal,Legal Services,David Martinez,FALSE,TRUE,2023-09-20
V010,Office Supplies Plus,Operations,Office Supplies,Jennifer Lee,TRUE,TRUE,2024-02-20
